,title,link,tag
1,Efficient Training of Large Language Models on Distributed Infrastructures: A Survey,https://arxiv.org/abs/2407.20018,
2,Self-Supervised Learning for Text Recognition: A Critical Survey,https://arxiv.org/abs/2407.19889,
3,Survey and Taxonomy: The Role of Data-Centric AI in Transformer-Based Time Series Forecasting,https://arxiv.org/abs/2407.19784,
4,AI-Driven Healthcare: A Survey on Ensuring Fairness and Mitigating Bias,https://arxiv.org/abs/2407.19655,
5,The Emerged Security and Privacy of LLM Agent: A Survey with Case Studies,https://arxiv.org/abs/2407.19354,
6,Large Language Models for Human-like Autonomous Driving: A Survey,https://arxiv.org/abs/2407.19280,
7,Comprehensive Survey of Complex-Valued Neural Networks: Insights into Backpropagation and Activation Functions,https://arxiv.org/abs/2407.19258,
8,Mobile Edge Intelligence for Large Language Models: A Contemporary Survey,https://arxiv.org/abs/2407.18921,
9,Reinforcement Learning for Sustainable Energy: A Survey,https://arxiv.org/abs/2407.18597,
10,The Art of Refusal: A Survey of Abstention in Large Language Models,https://arxiv.org/abs/2407.18418,
11,AI Safety in Generative AI Large Language Models: A Survey,https://arxiv.org/abs/2407.18369,
12,Applications of Multi-Agent Deep Reinforcement Learning Communication in Network Management: A Survey,https://arxiv.org/abs/2407.17030,
13,"Multimodal Machine Learning in Mental Health: A Survey of Data, Algorithms, and Challenges",https://arxiv.org/abs/2407.16804,
14,"A Comprehensive Survey of LLM Alignment Techniques: RLHF, RLAIF, PPO, DPO and More",https://arxiv.org/abs/2407.16216,
15,A Survey of Explainable Artificial Intelligence (XAI) in Financial Time Series Forecasting,https://arxiv.org/abs/2407.15909,
16,Adversarial Attacks and Defenses on Text-to-Image Diffusion Models: A Survey,https://arxiv.org/abs/2407.15861,
17,XAI meets LLMs: A Survey of the Relation between Explainable AI and Large Language Models,https://arxiv.org/abs/2407.15248,
18,A Survey on Employing Large Language Models for Text-to-SQL Tasks,https://arxiv.org/abs/2407.15186,
19,Knowledge Mechanisms in Large Language Models: A Survey and Perspective,https://arxiv.org/abs/2407.15017,
20,Internal Consistency and Self-Feedback in Large Language Models: A Survey,https://arxiv.org/abs/2407.14507,
21,Retrieval-Augmented Generation for Natural Language Processing: A Survey,https://arxiv.org/abs/2407.13193,
22,A Survey of Prompt Engineering Methods in Large Language Models for Different NLP Tasks,https://arxiv.org/abs/2407.12994,
23,A Survey on Universal Approximation Theorems,https://arxiv.org/abs/2407.12895,
24,Grounding and Evaluation for Large Language Models: Practical Challenges and Lessons Learned (Survey),https://arxiv.org/abs/2407.12858,
25,Computational Politeness in Natural Language Processing: A Survey,https://arxiv.org/abs/2407.12814,
26,LLM Inference Serving: Survey of Recent Advances and Opportunities,https://arxiv.org/abs/2407.12391,
27,"Reasoning with Large Language Models, a Survey",https://arxiv.org/abs/2407.11511,
28,Building Intelligence Identification System via Large Language Model Watermarking: A Survey and Beyond,https://arxiv.org/abs/2407.11100,
29,A Survey on LoRA of Large Language Models,https://arxiv.org/abs/2407.11046,
30,Towards Systematic Monolingual NLP Surveys: GenA of Greek NLP,https://arxiv.org/abs/2407.09861,
31,The Synergy between Data and Multi-Modal Large Language Models: A Survey from Co-Development Perspective,https://arxiv.org/abs/2407.08583,
32,"A Survey of Attacks on Large Vision-Language Models: Resources, Advances, and Future Trends",https://arxiv.org/abs/2407.07403,
33,"A Survey on Mixture of Experts
",https://arxiv.org/abs/2407.06204,
34,"Merge, Ensemble, and Cooperate! A Survey on Collaborative Strategies in the Era of Large Language Models",https://arxiv.org/abs/2407.06089,
35,A Survey of Controllable Learning: Methods and Applications in Information Retrieval,https://arxiv.org/abs/2407.06083,
36,Jailbreak Attacks and Defenses Against Large Language Models: A Survey,https://arxiv.org/abs/2407.04295,
37,"A Systematic Survey and Critical Review on Evaluating Large Language Models: Challenges, Limitations, and Recommendations",https://arxiv.org/abs/2407.04069,
38,A Survey on Natural Language Counterfactual Generation,https://arxiv.org/abs/2407.03993,
39,A Survey of Data Synthesis Approaches,https://arxiv.org/abs/2407.03672,
40,"Survey on Knowledge Distillation for Large Language Models: Methods, Evaluation, and Application",https://arxiv.org/abs/2407.01885,
41,"JailbreakZoo: Survey, Landscapes, and Horizons in Jailbreaking Large Language and Vision-Language Models",https://arxiv.org/abs/2407.01599,
42,Large Language Model Enhanced Knowledge Representation Learning: A Survey,https://arxiv.org/abs/2407.00936,
43,Diffusion Models and Representation Learning: A Survey,https://arxiv.org/abs/2407.00783,
44,A Survey on Failure Analysis and Fault Injection in AI Systems,https://arxiv.org/abs/2407.00125,
45,From Efficient Multimodal Models to World Models: A Survey,https://arxiv.org/abs/2407.00118,
46,Fairness and Bias in Multimodal AI: A Survey,https://arxiv.org/abs/2406.19097,
47,A Survey on Transformers in NLP with Focus on Efficiency,https://arxiv.org/abs/2406.16893,
48,A Survey on Intent-aware Recommender Systems,https://arxiv.org/abs/2406.16350,
49,U Can't Gen This? A Survey of Intellectual Property Protection Methods for Data in Generative AI,https://arxiv.org/abs/2406.15386,
50,"On LLMs-Driven Synthetic Data Generation, Curation, and Evaluation: A Survey",https://arxiv.org/abs/2406.15126,
51,Unveiling the Spectrum of Data Contamination in Language Models: A Survey from Detection to Remediation,https://arxiv.org/abs/2406.14644,
52,A Survey of Multimodal-Guided Image Editing with Text-to-Image Diffusion Models,https://arxiv.org/abs/2406.14555,
53,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",https://arxiv.org/abs/2406.11903,
54,A Systematic Survey of Text Summarization: From Statistical Methods to Large Language Models,https://arxiv.org/abs/2406.11289,
55,A Survey on Human Preference Learning for Large Language Models,https://arxiv.org/abs/2406.11191,
56,"On the Role of Entity and Event Level Conceptualization in Generalizable Reasoning: A Survey of Tasks, Methods, Applications, and Future Directions",https://arxiv.org/abs/2406.10885,
57,Next-Generation Database Interfaces: A Survey of LLM-based Text-to-SQL,https://arxiv.org/abs/2406.08426,
58,Resource Allocation and Workload Scheduling for Large-Scale Distributed Deep Learning: A Survey,https://arxiv.org/abs/2406.08115,
59,Unique Security and Privacy Threats of Large Language Model: A Comprehensive Survey,https://arxiv.org/abs/2406.07973,
60,A Survey of Backdoor Attacks and Defenses on Large Language Models: Implications for Security Measures,https://arxiv.org/abs/2406.06852,
61,Towards Lifelong Learning of Large Language Models: A Survey,https://arxiv.org/abs/2406.06391,
62,A Survey on LLM-Based Agents: Common Workflows and Reusable LLM-Profiled Components,https://arxiv.org/abs/2406.05804,
63,"Video-Language Understanding: A Survey from Model Architecture, Model Training, and Data Perspectives",https://arxiv.org/abs/2406.05615,
64,Culturally Aware and Adapted NLP: A Taxonomy and a Survey of the State of the Art,https://arxiv.org/abs/2406.03930,
65,Memorization in deep learning: A survey,https://arxiv.org/abs/2406.03880,
66,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,https://arxiv.org/abs/2406.02630,
67,"A Survey of Neural Code Intelligence: Paradigms, Advances and Beyond",https://arxiv.org/abs/2403.14734,
68,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,https://arxiv.org/abs/2403.14608,
69,From Handcrafted Features to LLMs: A Brief Survey for Machine Translation Quality Estimation,https://arxiv.org/abs/2403.14118,
70,A Survey on Quality Metrics for Text-to-Image Models,https://arxiv.org/abs/2403.11821,
71,"A Survey on Game Playing Agents and Large Models: Methods, Applications, and Challenges",https://arxiv.org/abs/2403.10249,
72,Large Language Models and Causal Inference in Collaboration: A Comprehensive Survey,https://arxiv.org/abs/2403.09606,
73,Knowledge Conflicts for LLMs: A Survey,https://arxiv.org/abs/2403.08319,
74,"Improving deep learning with prior knowledge and cognitive models: A survey on enhancing explainability, adversarial robustness and zero-shot learning",https://arxiv.org/abs/2403.07078,
75,On Protecting the Data Privacy of Large Language Models (LLMs): A Survey,https://arxiv.org/abs/2403.05156,
76,A Survey on Human-AI Teaming with Large Pre-Trained Models,https://arxiv.org/abs/2403.04931,
77,Breaking Down the Defenses: A Comparative Survey of Attacks on Large Language Models,https://arxiv.org/abs/2403.04786,
78,Controllable Generation with Text-to-Image Diffusion Models: A Survey,https://arxiv.org/abs/2403.04279,
79,A Comprehensive Survey on Process-Oriented Automatic Text Summarization with Exploration of LLM-Based Methods,https://arxiv.org/abs/2403.02901,
80,"A Survey of AI-generated Text Forensic Systems: Detection, Attribution, and Characterization",https://arxiv.org/abs/2403.01152,
81,Retrieval-Augmented Generation for AI-Generated Content: A Survey,https://arxiv.org/abs/2402.19473,
82,Large Language Models and Games: A Survey and Roadmap,https://arxiv.org/abs/2402.18659,
83,Datasets for Large Language Models: A Comprehensive Survey,https://arxiv.org/abs/2402.18041,
84,A Survey on Recent Advances in LLM-Based Multi-turn Dialogue Systems,https://arxiv.org/abs/2402.18013,
85,"Large Language Models(LLMs) on Tabular Data: Prediction, Generation, and Understanding -- A Survey",https://arxiv.org/abs/2402.17944,
86,"Multi-Agent, Human-Agent and Beyond: A Survey on Cooperation in Social Dilemmas",https://arxiv.org/abs/2402.17270,
87,A Survey on Data Selection for Language Models,https://arxiv.org/abs/2402.16827,
88,LLM Inference Unveiled: Survey and Roofline Model Insights,https://arxiv.org/abs/2402.16363,
89,"Generative AI in Vision: A Survey on Models, Metrics and Applications",https://arxiv.org/abs/2402.16369,
90,"Deep Generative Models for Offline Policy Learning: Tutorial, Survey, and Perspectives on Future Directions",https://arxiv.org/abs/2402.13777,
91,Large Language Models for Data Annotation: A Survey,https://arxiv.org/abs/2402.13446,
92,A Survey on Knowledge Distillation of Large Language Models,https://arxiv.org/abs/2402.13116,
93,The Revolution of Multimodal Large Language Models: A Survey,https://arxiv.org/abs/2402.12451,
94,Puzzle Solving using Reasoning of Large Language Models: A Survey,https://arxiv.org/abs/2402.11291,
95,Model Compression and Efficient Inference for Large Language Models: A Survey,https://arxiv.org/abs/2402.09748,
96,"Attacks, Defenses and Evaluations for LLM Conversation Safety: A Survey",https://arxiv.org/abs/2402.09283,
97,A Survey of Table Reasoning with Large Language Models,https://arxiv.org/abs/2402.08259,
98,A Systematic Survey of Prompt Engineering in Large Language Models: Techniques and Applications,https://arxiv.org/abs/2402.07927,
99,Large Language Models: A Survey,https://arxiv.org/abs/2402.06196,
100,A Survey on Transformer Compression,https://arxiv.org/abs/2402.05964,
101,Advancing Graph Representation Learning with Large Language Models: A Comprehensive Survey of Techniques,https://arxiv.org/abs/2402.05952,
102,A Survey on Safe Multi-Modal Learning System,https://arxiv.org/abs/2402.05355,
103,A Survey on Data Selection for LLM Instruction Tuning,https://arxiv.org/abs/2402.05123,
104,Large Language Model for Table Processing: A Survey,https://arxiv.org/abs/2402.05121,
105,Beyond the Limits: A Survey of Techniques to Extend the Context Length in Large Language Models,https://arxiv.org/abs/2402.02244,
106,Large Language Model based Multi-Agents: A Survey of Progress and Challenges,https://arxiv.org/abs/2402.01680,
107,Continual Learning for Large Language Models: A Survey,https://arxiv.org/abs/2402.01364,
108,Security and Privacy Challenges of Large Language Models: A Survey,https://arxiv.org/abs/2402.00888,
109,A Survey on Hallucination in Large Vision-Language Models,https://arxiv.org/abs/2402.00253,
110,Continual Learning with Pre-Trained Models: A Survey,https://arxiv.org/abs/2401.16386,
111,A Survey on Data Augmentation in Large Model Era,https://arxiv.org/abs/2401.15422,
112,A Comprehensive Survey of Compression Algorithms for Language Models,https://arxiv.org/abs/2401.15347,
113,Unlocking Efficiency in Large Language Model Inference: A Comprehensive Survey of Speculative Decoding,https://arxiv.org/abs/2401.07851,
114,"A Survey on Statistical Theory of Deep Learning: Approximation, Training Dynamics, and Generative Models",https://arxiv.org/abs/2401.07187,
115,Exploring the Reasoning Abilities of Multimodal Large Language Models (MLLMs): A Comprehensive Survey on Emerging Trends in Multimodal Reasoning,https://arxiv.org/abs/2401.06805,
116,Agent AI: Surveying the Horizons of Multimodal Interaction,https://arxiv.org/abs/2401.03568,
117,Training and Serving System of Foundation Models: A Comprehensive Survey,https://arxiv.org/abs/2401.02643,
118,A Comprehensive Survey of Hallucination Mitigation Techniques in Large Language Models,https://arxiv.org/abs/2401.01313,
119,"If LLM Is the Wizard, Then Code Is the Wand: A Survey on How Code Empowers Large Language Models to Serve as Intelligent Agents",https://arxiv.org/abs/2401.00812,
120,"A Survey of Personality, Persona, and Profile in Conversational Agents and Chatbots",https://arxiv.org/abs/2401.00609,
121,"Deep Learning for Code Intelligence: Survey, Benchmark and Toolkit",https://arxiv.org/abs/2401.00288,
122,Large Language Models for Generative Information Extraction: A Survey,https://arxiv.org/abs/2312.17617,
123,Video Understanding with Large Language Models: A Survey,https://arxiv.org/abs/2312.17432,
124,Length Extrapolation of Transformers: A Survey from the Perspective of Positional Encoding,https://arxiv.org/abs/2312.17044,
125,Towards Efficient Generative Large Language Model Serving: A Survey from Algorithms to Systems,https://arxiv.org/abs/2312.15234,
126,"A Survey of Reinforcement Learning from Human Feedback
",https://arxiv.org/abs/2312.14925,
127,Retrieval-Augmented Generation for Large Language Models: A Survey,https://arxiv.org/abs/2312.10997,
128,A Survey of Text Watermarking in the Era of Large Language Models,https://arxiv.org/abs/2312.07913,
129,"Mathematical Language Models: A Survey
",https://arxiv.org/abs/2312.07622,
130,Privacy Issues in Large Language Models: A Survey,https://arxiv.org/abs/2312.06717,
131,Efficient Large Language Models: A Survey,https://arxiv.org/abs/2312.03863,
132,A Survey on Prompting Techniques in LLMs,https://arxiv.org/abs/2312.03740,
133,"A Survey on Large Language Model (LLM) Security and Privacy: The Good, the Bad, and the Ugly",https://arxiv.org/abs/2312.02003,
134,"Trust, distrust, and appropriate reliance in (X)AI: a survey of empirical evaluation of user trust",https://arxiv.org/abs/2312.02034,
135,The Efficiency Spectrum of Large Language Models: An Algorithmic Survey,https://arxiv.org/abs/2312.00678,
136,Large Language Models Meet Computer Vision: A Brief Survey,https://arxiv.org/abs/2311.16673,
137,Advancing Transformer Architecture in Long-Context Large Language Models: A Comprehensive Survey,https://arxiv.org/abs/2311.12351,
138,"A Survey of Large Language Models for Code: Evolution, Benchmarking, and Future Trends",https://arxiv.org/abs/2311.10372,
139,"A Survey of Large Language Models for Code: Evolution, Benchmarking, and Future Trends",https://arxiv.org/abs/2311.10372,
140,A Survey of Confidence Estimation and Calibration in Large Language Models,https://arxiv.org/abs/2311.08298,
141,Can Knowledge Graphs Reduce Hallucinations in LLMs? : A Survey,https://arxiv.org/abs/2311.07914,
142,How to Bridge the Gap between Modalities: A Comprehensive Survey on Multimodal Large Language Model,https://arxiv.org/abs/2311.07594,
143,"Trends in Integration of Knowledge and Large Language Models: A Survey and Taxonomy of Methods, Benchmarks, and Applications",https://arxiv.org/abs/2311.05876,
144,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",https://arxiv.org/abs/2311.05232,
145,A Survey of Large Language Models Attribution,https://arxiv.org/abs/2311.03731,
146,Diffusion Models for Reinforcement Learning: A Survey,https://arxiv.org/abs/2311.01223,
147,LLM4Drive: A Survey of Large Language Models for Autonomous Driving,https://arxiv.org/abs/2311.01043,
148,What Formal Languages Can Transformers Express? A Survey,https://arxiv.org/abs/2311.00208,
149,AI Alignment: A Comprehensive Survey,https://arxiv.org/abs/2310.19852,
150,Evaluating Large Language Models: A Comprehensive Survey,https://arxiv.org/abs/2310.19736,
151,Pitfalls in Language Models for Code Intelligence: A Taxonomy and Survey,https://arxiv.org/abs/2310.17903,
152,Natural Language Interfaces for Tabular Data Querying and Visualization: A Survey,https://arxiv.org/abs/2310.17894,
153,Give Me the Facts! A Survey on Factual Knowledge Probing in Pre-trained Language Models,https://arxiv.org/abs/2310.16570,
154,A Survey on Detection of LLMs-Generated Content,https://arxiv.org/abs/2310.15654,
155,"A Survey on LLM-Generated Text Detection: Necessity, Methods, and Future Directions",https://arxiv.org/abs/2310.14724,
156,"Survey on Factuality in Large Language Models: Knowledge, Retrieval and Domain-Specificity",https://arxiv.org/abs/2310.07521,
157,A Survey on Image-text Multimodal Models,https://arxiv.org/abs/2309.15857,
158,"Navigate through Enigmatic Labyrinth A Survey of Chain of Thought Reasoning: Advances, Frontiers and Future",https://arxiv.org/abs/2309.15402,
159,Large Language Model Alignment: A Survey,https://arxiv.org/abs/2309.15025,
160,An In-depth Survey of Large Language Model-based Artificial Intelligence Agents,https://arxiv.org/abs/2309.14365,
161,The Rise and Potential of Large Language Model Based Agents: A Survey,https://arxiv.org/abs/2309.07864,
162,A Survey of Hallucination in Large Foundation Models,https://arxiv.org/abs/2309.05922,
163,Siren's Song in the AI Ocean: A Survey on Hallucination in Large Language Models,https://arxiv.org/abs/2309.01219,
164,Large Language Models for Generative Recommendation: A Survey and Visionary Discussions,https://arxiv.org/abs/2309.01157,
165,Explainability for Large Language Models: A Survey,https://arxiv.org/abs/2309.01029,
166,Bias and Fairness in Large Language Models: A Survey,https://arxiv.org/abs/2309.00770,
167,Reinforcement Learning for Generative AI: A Survey,https://arxiv.org/abs/2308.14328,
168,A Survey of Diffusion Based Image Generation Models: Issues and Their Solutions,https://arxiv.org/abs/2308.13142,
169,Efficient Training of Large Language Models on Distributed Infrastructures: A Survey,https://arxiv.org/abs/2407.20018,
